age,education_level,lived_in_urban_area,social_clas,household_member,household_income,household_expenditure,percent_monthly_expenditure_for_food,health_factor,price_factor,religious_value_in_type_of_food,religious_value_in_eating_places,religious_value_in_consumption_pattern,custom_value_in_type_of_food,custom_value_in_eating_places,custom_value_in_consumption_pattern,practice_of_food_consumption_based_on_religious_rules,practice_of_food_consumption_based_on_custom_rules,buying_food_product_in_the_right_place_based_on_religious_rules,type_of_dishes_variation_based_on_religious_rules,practice_of_consuming_traditional_food,city_Bandung,city_Denpasar,city_Jakarta,city_Makasar,city_Surabaya,province_Bali,province_DKI Jakarta,province_East Java,province_South Sulawesi,province_West Java,gender_Male,ethnic_Bali,ethnic_Batak,ethnic_Bugis,ethnic_Java,ethnic_Madura,ethnic_Minang,ethnic_Other,ethnic_Sunda,religion_Budha,religion_Catholic,religion_Hindu,religion_Islam,religion_Other,religion_Protestant,occupation_Enterpreneur,occupation_Government Employees,occupation_Independent Worker,occupation_Police Officer‎/Army,occupation_Private Employees,occupation_Teacher‎/Lecturer,time_of_income_receipt_Daily,time_of_income_receipt_Monthly,time_of_income_receipt_Weekly
31,2,31,0,5,3.08,3.02,57,1,3,4,2,3,4,2,2,2,1,2,3,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
36,4,32,0,6,4.02,4.01,43,2,4,4,3,3,4,3,3,1,2,2,2,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
24,2,24,1,5,5.08,5.05,38,2,3,2,3,2,2,1,3,1,2,2,2,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
63,2,32,0,5,3.01,2.08,61,2,3,3,3,2,3,2,3,3,2,1,2,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
43,0,43,0,6,3.04,3.01,58,0,4,2,4,2,2,2,4,4,3,1,3,3,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
47,2,47,0,6,4.01,5.03,34,1,4,3,4,3,3,2,4,4,1,1,4,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
28,2,28,2,7,13.0,11.08,26,3,1,4,4,3,2,2,4,4,3,1,3,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
48,2,31,0,6,3.02,2.06,57,1,3,4,2,3,1,2,2,2,2,1,2,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
36,2,36,2,6,10.03,10.0,24,2,1,4,3,3,2,1,3,2,2,1,2,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
39,4,19,2,7,14.02,13.09,27,4,1,3,2,3,3,1,2,2,4,3,4,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
53,5,12,0,8,3.04,3.01,67,1,4,4,3,4,4,1,3,2,2,3,2,3,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
57,0,22,1,7,4.01,4.04,36,2,4,4,2,4,2,2,2,2,2,2,2,4,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
46,4,22,0,7,5.08,5.04,42,1,3,4,4,4,3,2,1,2,3,3,3,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
53,4,22,0,7,2.03,1.09,73,1,4,4,4,4,2,2,2,2,2,1,2,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
58,4,28,1,7,4.02,4.05,41,4,4,3,4,3,3,3,3,3,4,2,4,3,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
62,2,11,1,5,5.09,4.05,33,3,3,2,4,2,2,2,4,4,3,2,3,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
41,4,25,2,6,11.04,11.0,19,4,0,4,4,4,4,2,2,2,2,2,2,3,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
61,0,34,0,6,3.0,2.06,69,2,4,4,4,3,3,2,3,3,2,2,2,4,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
23,4,23,2,6,15.07,15.03,23,4,0,4,4,3,3,2,2,2,2,2,2,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
27,2,27,2,6,13.02,12.08,25,4,0,3,4,2,3,2,3,3,2,2,2,4,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
38,5,12,0,6,3.04,3.01,57,1,4,4,2,3,3,2,2,2,1,3,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
24,4,24,2,7,6.08,6.05,43,3,0,3,4,3,3,2,4,4,2,3,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
33,2,32,0,5,4.08,4.05,38,2,3,4,3,4,4,3,3,3,4,2,4,4,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
27,5,27,0,6,2.09,2.06,61,1,4,4,3,3,4,3,3,3,3,2,3,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
54,2,24,0,5,3.05,3.02,58,0,3,4,3,3,4,3,3,3,2,2,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
30,2,30,1,5,5.07,5.04,34,1,4,2,3,2,2,3,3,3,1,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
61,4,31,2,6,11.03,11.0,26,4,0,3,3,3,3,3,3,3,2,3,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
24,4,24,0,6,2.07,2.03,57,1,4,2,4,2,2,4,4,4,3,2,3,3,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
33,4,33,2,7,10.01,9.07,24,4,0,4,4,2,4,4,4,4,2,2,2,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
31,3,31,2,6,12.05,12.01,27,3,1,3,4,3,3,4,4,4,3,2,3,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
25,3,25,0,6,3.02,2.08,67,2,1,4,2,3,4,2,2,2,2,2,2,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
34,4,24,1,7,6.02,5.08,36,2,1,3,3,2,3,3,3,3,2,3,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
28,5,22,2,8,6.04,6.0,42,4,0,4,2,4,4,2,2,2,2,2,2,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
35,4,15,0,7,3.07,3.03,73,2,3,3,4,3,3,4,4,4,4,2,4,4,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
63,4,32,1,7,5.09,5.05,41,4,3,4,3,4,4,3,3,3,4,2,4,4,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
41,4,21,1,7,6.07,6.03,33,4,3,3,4,3,3,4,4,4,4,2,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
30,4,30,2,7,10.09,10.05,19,3,2,4,3,4,4,3,3,3,3,2,3,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
27,2,27,0,5,3.09,3.05,69,1,3,4,4,4,3,4,4,4,2,2,2,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
32,3,22,2,6,9.08,9.04,23,1,1,4,3,4,4,3,3,3,1,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
29,4,29,2,6,9.06,9.02,25,3,0,2,4,2,3,4,4,4,2,2,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
31,4,31,0,6,3.06,3.02,58,1,4,3,3,3,4,3,3,3,2,2,2,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
27,4,27,1,6,5.07,5.03,44,1,1,2,4,2,4,4,4,4,1,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
37,4,37,1,6,6.04,6.0,35,2,2,3,3,3,2,3,3,3,2,2,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
36,2,16,0,5,3.04,3.0,59,1,4,4,4,4,3,4,4,4,1,2,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
38,3,18,0,6,2.09,2.05,65,4,4,4,3,4,2,3,3,3,4,2,4,4,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
63,2,23,1,5,5.06,5.02,41,1,4,4,4,4,3,4,4,4,1,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
40,2,20,2,5,11.02,10.08,26,3,2,3,4,3,2,4,4,4,2,2,2,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
30,4,30,0,6,3.07,3.03,76,2,3,4,3,4,1,3,3,3,2,2,2,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
33,5,33,2,6,10.06,10.02,22,4,1,4,4,4,2,4,4,4,2,2,2,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
29,4,29,2,7,11.02,11.01,18,3,1,4,3,4,3,3,3,3,3,3,3,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
27,5,27,0,6,3.08,3.07,57,1,1,4,4,4,4,4,4,4,1,4,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
31,3,31,1,6,6.02,6.01,43,3,2,3,2,3,2,2,2,2,3,2,3,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
24,4,24,1,7,5.08,5.07,38,2,2,2,3,2,3,3,3,3,2,3,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
40,5,40,0,8,3.01,3.0,61,2,2,4,3,4,2,3,3,3,2,2,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
65,4,25,1,7,3.04,3.03,58,4,2,4,3,4,3,3,3,3,4,2,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
31,4,21,1,7,5.06,5.05,34,2,2,4,4,4,2,4,4,4,2,2,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
25,4,25,2,7,12.01,12.0,26,2,2,4,4,4,4,4,4,4,2,2,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
41,4,21,0,7,2.09,2.08,57,2,3,3,4,3,3,4,4,4,3,2,3,3,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
65,2,27,2,5,10.03,10.02,24,4,2,3,2,3,3,2,2,2,2,2,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
38,3,18,2,6,14.02,14.01,27,4,2,3,4,3,3,3,3,3,4,2,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
47,3,27,0,6,3.04,3.03,67,1,2,3,4,3,3,2,2,2,3,2,3,3,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
28,4,28,1,6,6.07,6.06,36,2,2,3,4,3,3,3,3,3,2,2,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
48,5,38,1,6,5.08,5.07,42,2,2,4,4,4,4,2,2,2,2,2,2,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
27,4,27,0,6,2.03,2.02,73,2,2,4,4,4,4,1,1,1,2,2,2,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
39,4,39,0,7,4.09,4.08,41,2,2,4,2,4,4,2,2,2,2,2,2,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
53,3,21,1,6,5.09,5.08,33,1,1,2,3,2,2,3,3,3,1,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
57,3,24,2,6,11.04,11.03,19,3,2,3,4,3,3,4,4,4,2,2,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
46,3,46,0,6,3.0,2.09,69,1,1,2,4,2,2,2,2,2,1,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
53,5,27,2,6,15.07,15.06,23,4,2,3,4,3,3,3,3,3,2,3,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
58,2,29,2,5,13.02,13.01,25,2,2,2,4,2,2,2,2,2,2,2,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
23,5,23,0,6,3.04,3.01,57,2,2,1,4,1,1,3,3,3,2,1,2,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
46,2,46,1,5,6.08,6.05,43,3,2,2,4,2,2,2,2,2,3,2,3,3,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
34,2,34,1,5,4.08,4.05,38,1,1,3,4,3,3,4,4,4,1,3,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
30,4,30,0,6,2.09,2.06,61,2,2,4,3,4,4,3,3,3,3,4,3,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
26,4,26,1,6,3.05,3.02,58,2,2,2,3,2,2,3,3,3,2,2,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
43,4,43,1,7,5.07,5.04,34,2,2,3,3,3,3,3,3,3,2,3,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
55,4,31,2,6,11.03,11.0,26,4,2,2,3,2,2,3,3,3,4,2,4,4,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
37,5,27,0,6,2.07,2.04,57,2,2,3,3,3,3,3,3,3,2,3,2,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
30,4,30,2,7,10.01,9.08,24,2,2,2,4,2,2,4,4,4,2,2,2,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
35,5,23,2,8,12.05,12.02,27,3,2,4,4,4,4,4,4,4,3,2,3,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
29,4,19,1,7,3.02,2.09,67,2,2,3,4,3,3,4,4,4,2,2,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
41,4,21,1,7,6.02,5.09,36,4,2,3,2,3,3,2,2,2,4,2,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
31,4,31,1,7,6.04,6.0,42,1,1,3,3,3,3,3,3,3,1,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
36,4,36,0,7,3.07,3.03,73,1,2,3,2,3,3,2,2,2,2,2,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
52,2,26,0,5,5.09,5.05,41,1,2,4,4,4,4,4,4,4,2,2,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
64,0,27,1,6,6.07,6.03,33,2,2,4,3,4,4,3,3,3,2,4,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
35,1,35,2,6,10.09,10.05,19,3,3,2,4,2,2,4,4,4,3,2,3,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
62,5,25,0,6,3.09,3.05,69,1,1,4,3,4,3,3,3,3,1,3,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
36,4,36,0,6,9.08,9.04,23,2,2,4,4,4,2,4,4,4,3,2,3,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
52,1,22,1,6,9.06,9.02,25,2,2,2,3,2,3,3,3,3,2,3,2,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
55,4,25,1,7,3.06,3.03,58,2,2,3,2,3,2,2,2,2,2,2,2,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
34,4,34,2,6,5.07,5.04,44,4,2,2,3,2,1,3,3,3,4,1,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
